requirement_id,chapter,keyword_profile,text
CDS000-R001,CDS-000,MUST NOT+SHOULD NOT+MUST+SHOULD+MAY,"The key words MUST, MUST NOT, SHOULD, SHOULD NOT and MAY in CDS documents are to be interpreted as described in RFC 2119 and RFC 8174: they are normative **only when they appear in upper case within the body of a requirement sentence**."
CDS000-R002,CDS-000,MUST NOT,The keyword SHALL is not used in CDS. Requirement sentences MUST NOT carry a detached requirement-level prefix label; the in-sentence keyword governs. *(Resolves the prefix-corruption defect catalogued in the v0.2 errata manifest.)*
CDS000-R003,CDS-000,declarative,"Every normative requirement carries a stable requirement identifier of the form `CDSnnn-Rmmm` (chapter number, requirement number). Identifiers are never reused after retirement."
CDS000-R004,CDS-000,declarative,"Every section is explicitly marked normative or informative. Examples, worked scenarios and platform observations are informative unless individually marked otherwise."
CDS000-R005,CDS-000,MUST NOT,"Each defined term has exactly one authoritative definition, in CDS-100. Each normative topic has exactly one authoritative home chapter; other chapters cite it and MUST NOT restate its requirements. The authoritative homes are: terminology — CDS-100; entity and authority model — CDS-200; namespaces and naming — CDS-300; dictionaries and value layers — CDS-400; publication, observation, verificatio"
CDS000-R006,CDS-000,MUST NOT,"Architecture decisions are recorded as ADRs in a single global register, one ADR per decision. A superseded ADR is marked superseded and cross-referenced; the same decision MUST NOT be recorded in multiple ADRs."
CDS000-R007,CDS-000,MUST NOT,The corpus has one release version shared by every chapter and companion package. The current release is **v0.2 Review Draft**. Chapters MUST NOT carry independent versions.
CDS000-R008,CDS-000,declarative,"Release gates: v0.9 requires external/domain review, stable profiles and a complete conformance package; v1.0 requires stable governance, independently tested schemas, current verified profiles and documented adopters. No CDS artifact may be labelled v1.0 before those gates pass."
CDS000-R009,CDS-000,declarative,Schema `$id`s are release-independent URNs (`urn:cds:schema:<domain>:<name>`); each schema carries its own semantic version; instances pin their corpus release via the envelope `cds_version`. (Details: CDS-1100.)
CDS000-R010,CDS-000,declarative,"Principle identifiers use the form `CDS-P-nn`; they share no identifier space with chapter numbers, requirement IDs or ADR IDs."
CDS000-R011,CDS-000,MUST NOT+MAY,Profile precedence: more specific profiles (platform → industry → organisation) MAY add constraints; CDS core semantics remain authoritative for shared concepts. A profile MUST NOT weaken a core requirement; deviations go through the exception process (CDS-800).
CDS000-R012,CDS-000,declarative,"Conformance levels, their tests and claim rules are defined solely in CDS-1000 (Foundation → Structured → Publisher → Verified → Governed, with overlay profiles such as AI-Assured). Levels are strictly cumulative. *(ADR-D1.)*"
CDS100-R001,CDS-100,MUST NOT+MUST,"The definitions in this chapter are normative. A term has exactly one CDS definition; other chapters MUST use these terms consistently and MUST NOT redefine them. Where industry usage conflicts, the CDS definition prevails within CDS documents."
CDS100-R002,CDS-100,declarative,"Each definition names the chapter that owns the term's detailed requirements (""Home""). Definitions state *what a term means*; the home chapter states *what implementations must do*."
CDS100-R003,CDS-100,MUST NOT,The following terms are retired and MUST NOT be used in v0.2+ documents except when quoting v0.1 drafts or legacy systems:
CDS200-R001,CDS-200,MUST,A CDS implementation MUST maintain a canonical product layer independent of any single sales channel.
CDS200-R002,CDS-200,MUST NOT,"A channel-specific limitation MUST NOT reduce the information fidelity of the canonical model. Channel constraints are absorbed by field mappings and profiles (CDS-500, CDS-900)."
CDS200-R003,CDS-200,MUST NOT+MAY,"A downstream read-back MAY inform verification, but MUST NOT silently overwrite canonical values. Observed state is stored separately from canonical state (observation mechanics: CDS-500 §14–§15)."
CDS200-R004,CDS-200,MUST,Canonical information MUST be stored once and projected many times.
CDS200-R005,CDS-200,SHOULD,"A field that exists only because one channel requires it SHOULD be represented as a channel field or mapping (`CH_` scope, CDS-300), not as canonical product truth."
CDS200-R006,CDS-200,MUST+MAY,"An implementation MAY store data physically in relational tables, documents, graphs or spreadsheets, but MUST preserve the logical entities below and the rules attached to them."
CDS200-R007,CDS-200,MUST NOT+MUST,Tags MUST be governed projections generated from canonical data (e.g. `collection_*` signals regenerated from classification rules) and MUST NOT serve as the primary store for structured product facts. Tag governance is defined in CDS-400; tag publication and merge semantics in CDS-500.
CDS200-R008,CDS-200,MUST NOT+MUST,A difference MUST create a distinct sellable unit before it is modelled as a variant option. Attributes that do not produce a separately sellable unit MUST NOT be modelled as variant options merely to make them filterable (filterability is a facet concern — CDS-600).
CDS200-R009,CDS-200,MUST+MAY,"A Product with no variant options has exactly one variant, which MAY be implicit in storage but MUST be countable as a variant for publication and verification purposes."
CDS200-R010,CDS-200,MUST,Product-level attribute values MUST describe facts shared by all variants of the product.
CDS200-R011,CDS-200,MUST,"Variant-level attribute values MUST describe facts specific to the sellable unit, and MUST be stored as canonical `value_id`s (never raw source spellings) per ADR-D4."
CDS200-R012,CDS-200,MUST NOT+MUST,"Where a variant-scoped attribute (such as colour on a multi-colour product) is presented at product level for display, faceting or search, the product-level value MUST be a projection derived from the variant values and MUST NOT be an independently authored canonical fact."
CDS200-R013,CDS-200,MUST,"An implementation MUST maintain an internal taxonomy that is independent of any channel taxonomy. Core requirements in this section bind to *an internal taxonomy*, not to any particular tier structure."
